LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
404,BORDER ST,42.37787573,-71.03995208,A7,East Boston
405,BLACKSTONE ST,42.36165196,-71.05630529,A1,Downtown
406,WILMINGTON AVE,42.28029155,-71.07220576,B3,Mattapan
407,HAMLET ST,42.31841468,-71.06507314,B2,Roxbury
408,E EIGHTH ST,42.33145284,-71.03686785,C6,South Boston
409,HYDE PARK AVE,42.25621592,-71.12401947,E18,Hyde Park
410,WARREN ST,42.32978737,-71.08324801,B2,Roxbury
411,WALK HILL ST,42.2790573,-71.09584789,B3,Mattapan
412,W WALNUT PARK,42.31865822,-71.1006718,E13,Jamaica Plain
414,GERARD ST,42.33176796,-71.07182739,B2,Roxbury
415,TREMONT ST,42.35540738,-71.06312433,A1,Downtown
416,E EIGHTH ST,42.33255367,-71.05064614,C6,South Boston
417,LARCHMONT ST,42.29703368,-71.06860662,C11,Dorchester
419,MALCOLM X BLVD,42.33130111,-71.09333508,B2,Roxbury
420,GENEVA AVE,42.30135087,-71.06796465,C11,Dorchester
421,WASHINGTON ST,42.35512339,-71.0608798,A1,Downtown
422,PRINCE ST,42.36531295,-71.05565803,A1,Downtown
423,ADAMS ST,42.29963709,-71.05851176,C11,Dorchester
424,ASHEVILLE RD,42.26831357,-71.12774478,E18,Hyde Park
425,COMMERCIAL ST,42.36628674,-71.05135503,A1,Downtown
426,BOYNTON ST,42.30542129,-71.11325289,E13,Jamaica Plain
427,MISSION PARK DR,42.33407624,-71.10842653,B2,Roxbury
428,TRINITY TER,42.3013553,-71.07790746,B3,Mattapan
429,GIBSON ST,42.29755533,-71.0597091,C11,Dorchester
430,RIVER ST,42.27136131,-71.0810083,B3,Mattapan
431,DURNELL AVE,42.28585449,-71.13761496,E5,West Roxbury
432,CENTRE ST,42.31674811,-71.11356249,E13,Jamaica Plain
433,JETTE CT,42.3468275,-71.14319087,D14,Brighton
434,BOWDOIN AVE,42.30090969,-71.07425843,C11,Dorchester
435,BOYLSTON ST,42.3523411,-71.06432465,A1,Downtown
436,NEWBURY ST,42.3494205,-71.083158,D4,South End
